address,transaction_count,unique_customers,total_received_usdt,avg_payment_size,median_payment_size,max_customer_share,transaction_span_days,days_active,hours_active,peak_hour_utc,estimated_region,customer_return_rate,returning_customers,first_seen,last_seen,merchant_size
ta56qwaxfu83vcas7dzyjpbgawtu2fqomd,266,237,20459.27,76.91,9.99,0.038,1,2,24,9,Europe-Africa,0.072,17,2025-06-11 07:47:57-07:00,2025-06-12 13:44:45-07:00,Large
tyhgyngtxa1phkshobfyh6xe4twmcpvwxc,225,191,13925.64,61.89,32.0,0.013,1,2,20,10,Europe-Africa,0.173,33,2025-06-11 07:45:09-07:00,2025-06-12 13:00:06-07:00,Large
tekwcvw8rqmvaz3ndj6yxb3akho6aqyvv8,213,12,10049.33,47.18,42.61,0.592,1,2,10,11,Europe-Africa,0.583,7,2025-06-11 07:44:45-07:00,2025-06-12 12:52:48-07:00,Large
tvnr7b7miw96ygkt5dnkv1fbbarxynxz4s,211,29,15733.67,74.57,50.0,0.161,1,2,13,11,Europe-Africa,0.655,19,2025-06-11 07:42:45-07:00,2025-06-12 13:48:42-07:00,Large
trokpxt4uvxhugtcawt5ktgfgdssw2xzug,206,71,16390.63,79.57,36.16,0.175,1,2,23,8,Europe-Africa,0.324,23,2025-06-11 07:47:39-07:00,2025-06-12 11:32:57-07:00,Large
tma8ep2aebbs1vbajrazjmkvoj8qzf1e7f,181,38,9165.39,50.64,43.0,0.26,1,2,23,12,Europe-Africa,0.579,22,2025-06-11 07:42:36-07:00,2025-06-12 12:55:21-07:00,Medium
tsvwyhuao5gv7uzo6lxob7qi18dittqqqq,179,175,10854.39,60.64,20.0,0.011,1,2,23,9,Europe-Africa,0.023,4,2025-06-11 07:44:18-07:00,2025-06-12 13:34:51-07:00,Medium
tm6rlvljehvebrv4k1agm55krjbncan49b,174,138,10885.74,62.56,16.98,0.057,1,2,23,9,Europe-Africa,0.145,20,2025-06-11 07:44:45-07:00,2025-06-12 13:45:42-07:00,Medium
ttgfnlafffzup8tifmdjrz2xcunbqcwwmy,174,8,5238.23,30.1,26.22,0.546,1,2,16,11,Europe-Africa,0.625,5,2025-06-11 07:46:15-07:00,2025-06-12 13:41:30-07:00,Medium
twapybmkzlnqncm4bt8odf6sl3nndfmgai,170,129,4664.53,27.44,11.5,0.024,1,2,24,8,Europe-Africa,0.279,36,2025-06-11 07:54:15-07:00,2025-06-12 13:41:30-07:00,Medium
th8sb2jkekurqtvkx8fedshfxvjf6iesta,166,138,3152.25,18.99,12.0,0.03,1,2,19,8,Europe-Africa,0.174,24,2025-06-11 07:42:39-07:00,2025-06-12 12:02:36-07:00,Medium
tpabejwwtzpi6dsj6nm2qv2v5wbdfzx9av,163,163,4576.49,28.08,21.5,0.006,0,1,1,17,Americas,0.0,0,2025-06-11 17:07:42-07:00,2025-06-11 17:51:12-07:00,Medium
tygdqe9k4atoqa41egxxtubnvm18khtm97,161,111,4865.56,30.22,14.95,0.05,1,2,23,1,Asia-Pacific,0.252,28,2025-06-11 07:44:39-07:00,2025-06-12 11:52:42-07:00,Medium
ts5ce1xxulnrqgzykcwmazkdd8z7ujzyh9,161,101,3940.0,24.47,20.0,0.031,1,2,24,8,Europe-Africa,0.396,40,2025-06-11 08:01:03-07:00,2025-06-12 13:46:24-07:00,Medium
tczjvuzzqh3cxvy4tcpffg4qcml1rvk6un,159,36,6106.38,38.4,30.0,0.22,1,2,22,11,Europe-Africa,0.611,22,2025-06-11 07:42:42-07:00,2025-06-12 12:44:06-07:00,Medium
teka1d67rb8qbe2dgptbbaat4jyyfrbmr6,159,135,11578.6,72.82,48.0,0.025,1,2,21,12,Europe-Africa,0.141,19,2025-06-11 07:56:54-07:00,2025-06-12 13:46:51-07:00,Medium
tmya62ingdu1ys9dranmoevfwzxipyvyfc,150,150,12436.27,82.91,81.3,0.007,0,1,2,20,Americas,0.0,0,2025-06-11 17:22:39-07:00,2025-06-11 20:52:33-07:00,Medium
tcsbnujcg7cgrbqsiw4zqff66az2mrxbvt,149,138,3038.41,20.39,10.7,0.02,1,2,22,8,Europe-Africa,0.072,10,2025-06-11 07:50:39-07:00,2025-06-12 13:46:42-07:00,Medium
tmxmwh1mecyyhinq2abbhabzyigdxrf9v7,143,136,11042.85,77.22,24.19,0.014,1,2,7,12,Europe-Africa,0.051,7,2025-06-11 07:59:57-07:00,2025-06-12 12:21:09-07:00,Medium
tppxhm5hvrraymhuttrigmdeet91yvaxj4,140,140,3238.87,23.13,13.0,0.007,1,2,22,9,Europe-Africa,0.0,0,2025-06-11 07:45:30-07:00,2025-06-12 13:45:03-07:00,Medium
tqkfqq4fzky7xaeojsffdipojg8n5harty,135,11,10604.44,78.55,58.04,0.141,1,2,23,10,Europe-Africa,1.0,11,2025-06-11 08:51:27-07:00,2025-06-12 11:02:45-07:00,Medium
tkaohqsn12r9nydnckydss8almkwbhysni,132,126,9513.91,72.08,50.0,0.015,1,2,19,12,Europe-Africa,0.048,6,2025-06-11 07:48:06-07:00,2025-06-12 13:35:00-07:00,Medium
tdannxkqghkrmwudsh23uhqsy5apo88888,124,74,6988.75,56.36,20.0,0.048,1,2,23,8,Europe-Africa,0.324,24,2025-06-11 07:43:42-07:00,2025-06-12 12:41:09-07:00,Medium
tte7cb7t62xcd5zvxbmcnywbc3jaxrv748,119,81,11435.17,96.09,42.25,0.185,1,2,24,8,Europe-Africa,0.185,15,2025-06-11 07:55:00-07:00,2025-06-12 13:40:21-07:00,Medium
tqgqu9xguf1klsvemts7r6kzk777777777,119,102,4079.72,34.28,10.0,0.034,1,2,24,8,Europe-Africa,0.127,13,2025-06-11 08:01:15-07:00,2025-06-12 13:20:18-07:00,Medium
txzceu15ax7mw6yjlcvddhy81qxfhttdpe,113,75,2790.81,24.7,18.08,0.044,1,2,23,9,Europe-Africa,0.347,26,2025-06-11 07:43:21-07:00,2025-06-12 12:16:21-07:00,Medium
tsbejkwppadw1ktautv66zaceisalikued,112,91,9829.8,87.77,60.0,0.027,1,2,18,9,Europe-Africa,0.22,20,2025-06-11 07:50:24-07:00,2025-06-12 11:47:45-07:00,Medium
td14k7d2gkclczfysqowe8slxyhawzrqkj,110,98,4054.62,36.86,16.0,0.036,1,2,22,11,Europe-Africa,0.102,10,2025-06-11 07:47:30-07:00,2025-06-12 12:54:06-07:00,Medium
tcdwqu9wjs4vklwytbm5fp4qm3gufs9esb,110,71,4401.1,40.01,20.0,0.064,1,2,17,9,Europe-Africa,0.324,23,2025-06-11 07:49:42-07:00,2025-06-12 13:09:48-07:00,Medium
trxj3dgl8ntm7eqakzra5ruxu72a899999,108,93,3457.0,32.01,20.0,0.028,1,2,24,8,Europe-Africa,0.14,13,2025-06-11 07:45:30-07:00,2025-06-12 13:20:36-07:00,Medium
tnjraj4sy3srupr2fwwc6pxp7777777777,105,91,5332.25,50.78,20.0,0.029,1,2,20,8,Europe-Africa,0.121,11,2025-06-11 07:44:09-07:00,2025-06-12 13:24:54-07:00,Medium
tz7amnsjaulyjmysqd43v9mwvbfswsopq1,105,58,8496.43,80.92,42.26,0.076,1,2,23,11,Europe-Africa,0.414,24,2025-06-11 07:55:45-07:00,2025-06-12 13:44:48-07:00,Medium
thn9w3celgsfpcwrtxnoxiwpuzlz73qmvh,104,11,4880.69,46.93,49.16,0.49,0,2,14,8,Europe-Africa,0.273,3,2025-06-11 23:45:48-07:00,2025-06-12 12:32:03-07:00,Medium
tqwbpqrnqz8pkeppnrm5enferqv49usxaw,103,26,3625.41,35.2,20.0,0.233,1,2,17,9,Europe-Africa,0.654,17,2025-06-11 07:47:09-07:00,2025-06-12 13:43:42-07:00,Medium
tp1ehwkppnukahwxennxxvoxfsyuztmjxp,102,76,3955.47,38.78,15.38,0.069,1,2,24,9,Europe-Africa,0.184,14,2025-06-11 08:06:27-07:00,2025-06-12 13:45:03-07:00,Medium
txrhkdmuxzwrmgzeq4rksy1h4vcd1mydnw,100,100,7948.13,79.48,26.0,0.01,0,1,3,18,Americas,0.0,0,2025-06-11 17:30:06-07:00,2025-06-11 19:00:12-07:00,Medium
tpkw1w3xz1dysnmj6rukevyw274h9uxgx1,100,80,2854.1,28.54,18.23,0.03,1,2,23,8,Europe-Africa,0.212,17,2025-06-11 07:47:27-07:00,2025-06-12 13:37:27-07:00,Medium
tqhdnlyhq9uxccmjlvue7p1mmnyepzgdox,99,48,6504.66,65.7,28.29,0.192,1,2,22,9,Europe-Africa,0.312,15,2025-06-11 07:56:18-07:00,2025-06-12 13:23:12-07:00,Medium
tjjuydhvnu2su6ne7pcqpkbdchs9fdnpan,98,68,5551.42,56.65,18.66,0.082,1,2,22,9,Europe-Africa,0.265,18,2025-06-11 07:42:30-07:00,2025-06-12 13:17:24-07:00,Medium
thzxipqk1kianavmxivcbqtqdxrjtkyyyy,98,61,9021.19,92.05,30.72,0.071,1,2,24,5,Asia-Pacific,0.328,20,2025-06-11 07:54:12-07:00,2025-06-12 13:13:06-07:00,Medium
tpovaa1xqsd6haud5giyuhhdkub6666666,97,89,4092.51,42.19,20.0,0.031,1,2,23,9,Europe-Africa,0.079,7,2025-06-11 07:57:03-07:00,2025-06-12 12:06:45-07:00,Medium
ttxgc2ccosgbvcu6icihm8gatlzz888888,97,84,2258.55,23.28,12.0,0.031,1,2,19,9,Europe-Africa,0.143,12,2025-06-11 07:41:30-07:00,2025-06-12 13:03:54-07:00,Medium
tmkjoyutd6f3xkeoksoul5xrsgggt4t4uf,97,69,3283.56,33.85,13.21,0.062,1,2,24,9,Europe-Africa,0.275,19,2025-06-11 08:08:27-07:00,2025-06-12 13:20:42-07:00,Medium
tcjv5jyhtwg3c3wdfwgeonunerugqaaaaa,94,87,3156.92,33.58,20.0,0.021,1,2,23,8,Europe-Africa,0.08,7,2025-06-11 07:59:33-07:00,2025-06-12 11:12:33-07:00,Medium
tbu4jbr378h6yqnhmcukdhbkgnhk4ccra9,91,42,2319.81,25.49,14.0,0.319,1,2,18,9,Europe-Africa,0.333,14,2025-06-11 08:03:48-07:00,2025-06-12 13:23:42-07:00,Medium
tz8gpzywxuxuxp1mrz8xv7etbcjzrqdzxy,91,87,4192.35,46.07,20.0,0.033,1,2,22,9,Europe-Africa,0.034,3,2025-06-11 07:50:33-07:00,2025-06-12 13:41:54-07:00,Medium
tsk8wjed5heglhm4iyst9k1eijcavqaj2w,91,73,3676.34,40.4,16.0,0.044,1,2,18,8,Europe-Africa,0.205,15,2025-06-11 07:57:21-07:00,2025-06-12 12:09:51-07:00,Medium
trxdtttzzmntzaqxwwqswzt52cmmb33333,90,82,4815.09,53.5,30.0,0.033,1,2,21,8,Europe-Africa,0.085,7,2025-06-11 07:48:45-07:00,2025-06-12 12:31:03-07:00,Medium
tbcsqamnag2skdvfx3a7rvfucrfeerkrfc,89,85,7131.1,80.12,55.0,0.034,1,2,20,8,Europe-Africa,0.035,3,2025-06-11 07:56:06-07:00,2025-06-12 13:33:21-07:00,Medium
txuvembmnaxkmzm3smzpbpafvfz1999999,88,75,2201.37,25.02,14.68,0.045,1,2,23,9,Europe-Africa,0.147,11,2025-06-11 07:42:48-07:00,2025-06-12 13:41:24-07:00,Medium
tsdseuxaruvrfctil5kgnqqzdfdnnddgz7,87,46,7669.85,88.16,22.37,0.069,1,2,21,22,Asia-Pacific,0.478,22,2025-06-11 08:00:24-07:00,2025-06-12 12:18:57-07:00,Medium
tmfnqm1hhqjgycvsvym3t3bjjeuhafqjx1,86,76,3191.3,37.11,12.49,0.047,1,2,21,11,Europe-Africa,0.105,8,2025-06-11 07:44:06-07:00,2025-06-12 13:36:33-07:00,Medium
tf63k8nrhvbef3esc2rjvevbnv2sbpho3l,85,82,6995.94,82.31,42.39,0.024,1,2,19,4,Asia-Pacific,0.037,3,2025-06-11 07:50:51-07:00,2025-06-12 08:58:18-07:00,Medium
ttudcjdm27ts3myke5qtc1x4exsuvxpiya,81,61,5423.9,66.96,30.0,0.062,1,2,18,0,Asia-Pacific,0.23,14,2025-06-11 08:28:27-07:00,2025-06-12 11:36:36-07:00,Medium
ttresw3mup6wdaykzncqlyhzer4qbd7pyb,81,56,2634.37,32.52,21.32,0.099,1,2,24,9,Europe-Africa,0.232,13,2025-06-11 08:10:00-07:00,2025-06-12 13:02:45-07:00,Medium
td8xfqef5ni5pdtwmdwjue8h3cqgbfmmmm,81,78,4405.29,54.39,30.0,0.025,1,2,23,23,Asia-Pacific,0.038,3,2025-06-11 07:43:48-07:00,2025-06-12 11:50:03-07:00,Medium
tntc2fcsdhviqa8bvxytpu2ogr88888888,81,47,5823.27,71.89,28.05,0.074,1,2,22,9,Europe-Africa,0.404,19,2025-06-11 07:46:30-07:00,2025-06-12 13:19:51-07:00,Medium
tywlsmuedjaeazj5kzrdz6cc92bdjauar8,79,70,4204.0,53.22,16.0,0.025,1,2,2,12,Europe-Africa,0.129,9,2025-06-11 12:08:51-07:00,2025-06-12 12:15:42-07:00,Medium
tvff14d9ywfhjahouc2dd1pjorv2zeptb4,79,63,3360.87,42.54,14.0,0.038,1,2,21,13,Europe-Africa,0.222,14,2025-06-11 07:41:24-07:00,2025-06-12 13:44:24-07:00,Medium
tyha4kgafuyhc1kyp3tdsctsptkekrtcub,78,13,6558.74,84.09,49.2,0.333,1,2,21,3,Asia-Pacific,0.462,6,2025-06-11 08:24:51-07:00,2025-06-12 13:06:09-07:00,Medium
tknvjhfjm488pkz4yuaye3dljwsfqsdbh1,78,72,6285.19,80.58,53.33,0.038,1,2,21,11,Europe-Africa,0.069,5,2025-06-11 08:10:48-07:00,2025-06-12 12:28:48-07:00,Medium
trxqhg4anpabr2k3uyyvybycw7xr3aahvr,75,49,1917.72,25.57,25.0,0.08,1,2,20,8,Europe-Africa,0.388,19,2025-06-11 07:51:30-07:00,2025-06-12 12:50:42-07:00,Medium
ttceptg1slarxvwmuxst3qvmfl5ghbne6w,72,21,2369.01,32.9,19.56,0.319,1,2,16,10,Europe-Africa,0.524,11,2025-06-11 07:50:06-07:00,2025-06-12 13:46:06-07:00,Medium
twnqzvvmqjmf9dz7kupvnty9dmsuchezpw,69,69,4297.44,62.28,34.38,0.014,0,1,12,1,Asia-Pacific,0.0,0,2025-06-12 01:05:09-07:00,2025-06-12 13:42:54-07:00,Medium
tpx3v2jop23nsqs8xa3iqh94mm5h4jy9rp,68,54,2015.9,29.65,20.1,0.088,1,2,20,13,Europe-Africa,0.148,8,2025-06-11 07:41:12-07:00,2025-06-12 13:36:27-07:00,Medium
tmgymtzdhxngxqt6mi6et2et4s2ejt3gqn,68,46,1903.73,28.0,19.72,0.235,1,2,18,1,Asia-Pacific,0.152,7,2025-06-11 07:50:45-07:00,2025-06-12 13:24:18-07:00,Medium
ttqksjbsbxtbpkzz1gdotsdbpdmhwv84ks,68,50,2320.36,34.12,39.0,0.074,1,2,21,8,Europe-Africa,0.22,11,2025-06-11 07:41:33-07:00,2025-06-12 13:14:27-07:00,Medium
tvuhnxnaa1cespm5rmxa75cp6pp9qqlxcb,67,40,2395.55,35.75,29.6,0.045,1,2,18,8,Europe-Africa,0.65,26,2025-06-11 08:16:45-07:00,2025-06-12 13:46:42-07:00,Medium
tgaxre7v5u29jvbcfhd2mqerzgbkf78hbe,66,15,4359.02,66.05,60.0,0.242,0,2,14,8,Europe-Africa,0.6,9,2025-06-11 22:57:42-07:00,2025-06-12 11:54:51-07:00,Medium
tshbjh2tvp1qqbprsrqaqtwi6lncxfcpce,66,61,3794.27,57.49,50.0,0.045,1,2,18,10,Europe-Africa,0.066,4,2025-06-11 07:44:48-07:00,2025-06-12 12:08:33-07:00,Medium
tvnlzeaz7jmnc6q7qz8pr6de3pmszukhoq,66,16,6377.72,96.63,80.45,0.455,1,2,15,3,Asia-Pacific,0.625,10,2025-06-11 07:55:21-07:00,2025-06-12 13:22:18-07:00,Medium
tgdpug1fgyrwkyowwhintp4vycygrtyume,65,21,2122.08,32.65,20.0,0.292,1,2,15,11,Europe-Africa,0.667,14,2025-06-11 07:56:45-07:00,2025-06-12 13:44:39-07:00,Medium
trfdkbjghplvs3wh7ebwxrml5533333333,63,56,2166.72,34.39,20.0,0.063,1,2,18,9,Europe-Africa,0.089,5,2025-06-11 07:50:30-07:00,2025-06-12 11:42:12-07:00,Medium
tds8dau9ubkfyxuhz6wm7x8mtvah1rlaq8,63,16,4237.65,67.26,30.0,0.333,1,2,18,12,Europe-Africa,0.688,11,2025-06-11 07:50:12-07:00,2025-06-12 13:35:30-07:00,Medium
tnkgwzylbtfqhzpsbj2uqgxuqvo9p5hnx7,63,61,346.5,5.5,5.5,0.032,1,2,24,11,Europe-Africa,0.033,2,2025-06-11 07:49:09-07:00,2025-06-12 13:28:27-07:00,Medium
tnj3id2gjjsezxwkqysiv47qgfgfinvrar,62,62,2491.85,40.19,30.0,0.016,1,2,21,13,Europe-Africa,0.0,0,2025-06-11 08:18:12-07:00,2025-06-12 13:47:48-07:00,Medium
tyryus6sdvnmq2vtrwdipp96y5u3nbekxb,62,37,4949.5,79.83,54.73,0.097,1,2,23,9,Europe-Africa,0.351,13,2025-06-11 07:52:09-07:00,2025-06-12 13:34:51-07:00,Medium
tbl14hdehh6z4fjnfwlmkdo28lgrrzuuuu,62,52,3329.0,53.69,27.0,0.048,1,2,19,7,Europe-Africa,0.173,9,2025-06-11 07:41:21-07:00,2025-06-12 12:45:57-07:00,Medium
tjhjbq4nawpqqw1adwzrmrsuravphjydkc,61,25,5975.24,97.95,49.77,0.23,1,2,18,11,Europe-Africa,0.32,8,2025-06-11 07:40:48-07:00,2025-06-12 13:21:18-07:00,Medium
thnx5jjywwchzpr8vxpfcyztamjgqiawer,61,43,2625.84,43.05,13.99,0.098,1,2,22,23,Asia-Pacific,0.233,10,2025-06-11 07:44:39-07:00,2025-06-12 13:20:06-07:00,Medium
tc22fehh7kuou7eaupeefq5zzsgwaynfcu,61,27,1949.69,31.96,14.61,0.098,1,2,20,8,Europe-Africa,0.63,17,2025-06-11 07:40:15-07:00,2025-06-12 13:12:30-07:00,Medium
tkuhxvj8szc2j212iuchccwkdmfmmx8fff,60,47,5317.57,88.63,30.08,0.05,1,2,21,1,Asia-Pacific,0.213,10,2025-06-11 08:11:21-07:00,2025-06-12 12:51:51-07:00,Medium
txph7zyhcq4qnz35bstj1xqkhyonzrqkpf,60,60,5298.05,88.3,74.54,0.017,0,1,1,12,Europe-Africa,0.0,0,2025-06-12 12:24:45-07:00,2025-06-12 12:27:36-07:00,Medium
tfzn5fvn24tnjac1ugmwvejqibw6xeth3u,59,56,2521.82,42.74,15.0,0.034,1,2,18,8,Europe-Africa,0.054,3,2025-06-11 07:50:36-07:00,2025-06-12 09:19:33-07:00,Medium
tvxqdl97hzeypwnbz6fdotykcx287ycmcd,59,11,5442.95,92.25,95.2,0.136,1,2,13,3,Asia-Pacific,0.909,10,2025-06-11 08:03:51-07:00,2025-06-12 09:17:45-07:00,Medium
txnwxf7nmuttpsa4nicx29k6ov88888888,59,42,1384.68,23.47,15.0,0.136,1,2,20,10,Europe-Africa,0.143,6,2025-06-11 07:41:48-07:00,2025-06-12 12:48:48-07:00,Medium
tlk9akc5glmcma5ogguoyjvdwv2rct2qeq,58,58,3738.57,64.46,43.63,0.017,1,2,19,13,Europe-Africa,0.0,0,2025-06-11 08:04:03-07:00,2025-06-12 13:40:06-07:00,Medium
tbyhcqdajmyyppn3egxq8mufqhvrdvhmdg,57,13,4400.07,77.19,60.0,0.333,1,2,13,7,Europe-Africa,0.538,7,2025-06-11 07:50:06-07:00,2025-06-12 10:32:45-07:00,Medium
tutgju4krwufzhgdcxhn6trt7yuneecsce,57,34,4707.02,82.58,35.0,0.088,1,2,20,8,Europe-Africa,0.412,14,2025-06-11 08:12:06-07:00,2025-06-12 12:42:24-07:00,Medium
tpr1mcainagcq2zc6tlap8dopm83zqdnze,57,38,1434.64,25.17,8.34,0.123,1,2,20,0,Asia-Pacific,0.237,9,2025-06-11 09:08:36-07:00,2025-06-12 12:21:45-07:00,Medium
tp1x9wkeygfdqvvhobxdamahzdjfvr38m3,57,17,2803.04,49.18,30.0,0.158,1,2,18,12,Europe-Africa,0.706,12,2025-06-11 07:55:06-07:00,2025-06-12 13:47:39-07:00,Medium
txhg5pvzsgqjnvo1qgm1shg4cqdynghlte,56,28,4512.7,80.58,28.0,0.268,1,2,20,5,Asia-Pacific,0.357,10,2025-06-11 07:46:57-07:00,2025-06-12 13:23:03-07:00,Medium
trdxgki1f2tgp8kdjdhkokfob48hxeeeyw,56,5,2335.0,41.7,37.0,0.446,1,2,6,10,Europe-Africa,0.8,4,2025-06-11 09:59:06-07:00,2025-06-12 13:19:48-07:00,Medium
tqjnezqllh4pmbkidjcnbkpfa9yh267524,56,55,1244.27,22.22,12.7,0.036,0,2,3,22,Asia-Pacific,0.018,1,2025-06-11 22:12:12-07:00,2025-06-12 05:36:42-07:00,Medium
tce7vaj7gukrs83fupfztjqvbrvwydhwu3,56,47,1867.36,33.35,15.13,0.089,1,2,18,9,Europe-Africa,0.106,5,2025-06-11 07:41:45-07:00,2025-06-12 13:25:30-07:00,Medium
tcpjknf5dduwdqfe2sb5gd1drwphhsktpp,56,28,4224.77,75.44,26.0,0.304,1,2,20,8,Europe-Africa,0.25,7,2025-06-11 08:29:12-07:00,2025-06-12 11:31:03-07:00,Medium
tfxbeq1kpwjnxeamn63qaflpld139sgub1,56,33,130.6,2.33,2.39,0.125,1,2,18,9,Europe-Africa,0.242,8,2025-06-11 08:09:33-07:00,2025-06-12 13:43:00-07:00,Medium
tjnckihr6nzqjg1jhtdbafrenusx7kpqsn,56,19,147.31,2.63,2.0,0.125,1,2,11,11,Europe-Africa,0.737,14,2025-06-11 08:02:42-07:00,2025-06-12 13:14:36-07:00,Medium
tghanyhquq2x6cjqj3iphybsxrpnstyk4c,56,56,4199.47,74.99,51.0,0.018,1,2,19,12,Europe-Africa,0.0,0,2025-06-11 07:47:39-07:00,2025-06-12 13:15:03-07:00,Medium
ty3hrd9564wx8thzgngnezap3391234567,56,45,2658.6,47.47,15.0,0.054,1,2,18,10,Europe-Africa,0.222,10,2025-06-11 08:24:36-07:00,2025-06-12 11:12:57-07:00,Medium
th38maojc2l4dtnjtvbn2vyhczhud4qcgt,55,35,4198.6,76.34,24.11,0.182,1,2,20,1,Asia-Pacific,0.314,11,2025-06-11 08:48:27-07:00,2025-06-12 11:01:48-07:00,Medium
tuiaaptdyfmvrxubhkfiytjjynsjbbmfat,55,39,3821.17,69.48,14.0,0.127,1,2,19,9,Europe-Africa,0.231,9,2025-06-11 08:05:18-07:00,2025-06-12 13:38:48-07:00,Medium
tv8yn7prhckgkwaulhmtdbsjyb5gbhvrrt,55,49,4315.57,78.46,41.0,0.055,0,2,9,19,Americas,0.102,5,2025-06-11 19:29:48-07:00,2025-06-12 13:13:09-07:00,Medium
tufq6ri4wprbb9aro6wzoazj7ovcrympnd,55,25,5479.37,99.62,56.02,0.218,1,2,16,13,Europe-Africa,0.36,9,2025-06-11 08:00:03-07:00,2025-06-12 13:40:42-07:00,Medium
tdux1gbxcn4tbt9ui6zx1u7rptmejrytrt,55,23,4463.13,81.15,60.52,0.236,1,2,17,10,Europe-Africa,0.391,9,2025-06-11 07:40:24-07:00,2025-06-12 13:21:42-07:00,Medium
tt7knrnxq1qdnxfaiwvnkxabkgd9utaatj,55,55,2440.21,44.37,42.0,0.018,1,2,24,13,Europe-Africa,0.0,0,2025-06-11 08:10:36-07:00,2025-06-12 13:46:30-07:00,Medium
tefupwm9gmxjkwwsmpfrcoprk999999999,54,43,1426.81,26.42,16.5,0.074,1,2,20,10,Europe-Africa,0.163,7,2025-06-11 07:59:18-07:00,2025-06-12 11:25:51-07:00,Medium
treqp57gbbfafnifye1k67cnz3dx4kyocx,53,50,3609.0,68.09,25.0,0.038,1,2,22,1,Asia-Pacific,0.06,3,2025-06-11 08:45:06-07:00,2025-06-12 13:45:30-07:00,Medium
tyzo7288gpmsthzuttzqnn4cyf66666666,53,50,1377.8,26.0,12.0,0.038,1,2,20,8,Europe-Africa,0.06,3,2025-06-11 08:16:09-07:00,2025-06-12 13:01:24-07:00,Medium
